Name	Value	Count	Avg
An An Quán - Vĩnh Khánh	15	3	5
An An Spa	6	2	3
An Cafe & Restaurant - Vietnamese Cuisine	7	2	3.5
An Deli	7	2	3.5
Ăn Đêm Sài Gòn	52	13	4
Ăn Đêm SÀi Gòn - Giao Hàng Tận Nơi	8	2	4
An Dem SG	26	10	2.6
Ăn Đêm SG - Giao Đồ Ăn Khuya	25	8	3.12
An Dessert	16	4	4
An Duyên - Nhà Hàng Chay 	7	2	3.5
Ăn Kiêng LowCarb Dáng Việt - Shop Online	7	2	3.5
An kỳ's Bakery And Food	65	13	5
An Lac Vegetarian	43	11	3.91
Ân Nam Gourmet - Hai Bà Trưng	7	2	3.5
An Nam Quán 	4	1	4
An Nam Quán - Đặc Sản Miền Trung	3	1	3
An Nam Quán - Gà Lên Mâm - Nguyễn Bỉnh Khiêm	7	2	3.5
An Nam Quán - Gà Lên Mâm - Tú Xương	66	16	4.12
An Nam Quán - Nguyễn Bỉnh Khiêm	56	14	4
An Nguyễn	0	1	0
An Nhiên - Cháo Ếch Singapore	8	2	4
An Nhiên Coffee & Tea	49	12	4.08
An Nhiên Coffee & Tea 	3	1	3
An Restaurant - Nhà Hàng Bên Sông	10	3	3.33
Ăn Sáng Ốc Ken	8	2	4
An Spa - Lê Văn Sỹ	6	2	3
An Sushi - Ngô Văn Năm	4	1	4
An Tam	28	10	2.8
Ấn Tâm - Nhà Hàng Ẩm Thực Chay	18	4	4.5
Ấn Tượng Karaoke - Dân Chủ	8	2	4
Ăn vặt - Cá viên chiên	8	2	4
Ăn Vặt - Hồ Bá Kiện	17	4	4.25
Ăn Vặt - Kà Lem 3T	28	7	4
Ăn vặt 136 Nguyễn Tri Phương	8	2	4
Ăn Vặt 2 Chị Em - TPHCM	20	4	5
Ăn vặt 436 	3	1	3
Ăn vặt Ann Jamie	45	9	5
Ăn Vặt Bà Mập	6	2	3
Ăn Vặt Ba Tròn - Phan Xích Long	52	12	4.33
Ăn vặt bé rùa	16	4	4
Ăn vặt Bùi Thị Xuân	0	2	0
Ăn Vặt Buurin's House	26	6	4.33
Ăn văt chị mập	115	23	5
Ăn vặt cô Hằng - Bùi Hữu Nghĩa	3	1	3
Ăn Vặt Cô Tấm	3	1	3
Ăn vặt cổng trường Marie Curie	52	13	4
Ăn Vặt Dốc Sương Mù - Lê Quý Đôn	9	2	4.5
Ăn Vặt Food Shake - Bánh Mì Nướng & Xoài Lắc	7	2	3.5
Ăn Vặt Giao Tận Nơi  - Quang Trung	4	1	4
Ăn vặt Hà Lê	15	3	5
Ăn vặt HK shop - Huỳnh Văn Bánh	5	1	5
Ăn Vặt Hồ Con Rùa	134	34	3.94
Ăn Vặt Khô Gà Ớt Rặc Gon	24	6	4
Ăn vặt Kitty	0	5	0
Ăn Vặt Kỳ Đồng	3	1	3
Ăn Vặt Làng Đại Học	6	2	3
Ăn vặt Luvata	3	1	3
Ăn vặt mimi 	24	8	3
Ăn vặt My Trần	8	2	4
Ăn Vặt Nana	21	7	3
Ăn Vặt Ngon - Cách Mạng Tháng 8	8	2	4
Ăn Vặt Ngon Giá Rẻ - Hồ Bá Kiện	7	4	1.75
Ăn Vặt Ngon Lạ	85	17	5
Ăn Vặt Ngon Lạ - Bánh Trứng Cút - Shop Online	7	2	3.5
Ăn Vặt Ngon Lạ - Tô Hiến Thành	14	3	4.67
Ăn vặt ngon mẹ Bân Bân	6	2	3
Ăn Vặt Ngon, Giá Rẻ Như Quỳnh	4	1	4
Ăn vặt nhập khẩu	60	12	5
Ăn vặt nhập khẩu 	50	10	5
Ăn Vặt Như Quỳnh	65	13	5
Ăn vặt Oanh Vothihoang	0	3	0
Ăn Vặt Oh! Mr Bean - Tô Hiến Thành	17	5	3.4
Ăn vặt Online	70	34	2.06
Ăn Vặt Online - Nơ Trang Long	30	6	5
Ăn Vặt Panda	20	5	4
Ăn vặt Phương Quỳnh	15	3	5
Ăn Vặt Quán Ngon	338	78	4.33
Ăn Vặt Quán Ngon - Cách Mạng Tháng 8	11	3	3.67
Ăn Vặt quán ngon - Chi nhánh 2	36	12	3
Ăn Vặt Rio - Shop Online	8	2	4
Ăn Vặt Ryan Ji 	0	1	0
Ăn Vặt Sài Thành - Kha Vạn Cân	7	2	3.5
Ăn Vặt Sài Thành Kha Vạn Cân	28	7	4
Ăn vặt SD 	25	5	5
Ăn vặt Singapore	13	3	4.33
Ăn vặt sun 	87	19	4.58
Ăn Vặt T Sweet	0	2	0
Ăn vặt tại gia	25	5	5
ĂN VẶT TEEN TEEN 	75	15	5
Ăn Vặt Thiên Ân - Bành Văn Trân	7	2	3.5
Ăn vặt Thy Thy	20	4	5
Ăn vặt Tị Quỳnh - Hồ Xuân Hương	0	9	0
Ăn vặt Tiểu Duyên	36	9	4
Ăn vặt Tiny	20	9	2.22
Ăn vặt Tồ nùn	0	1	0
Ăn Vặt Tropical	3	1	3
Ăn Vặt Trường Võ Thành Trang - Tân Quý	3	1	3
Ăn vặt Tú Cherry	30	6	5
Ăn vặt tuổi thơ - vinhto food 	15	3	5
Ăn Vặt Xơi Xơi	9	7	1.29
Ăn vặt Yatai	4	1	4
Ăn Vặt-Q12	6	5	1.2
An Việt Thôn Restaurant	5	1	5
Ăng Tô Quán - Ăn Vặt	32	8	4
Angel In Us Coffee - Lotte Mart Lê Đại Hành	10	4	2.5
Angel In Us Coffee - Lotte Mart Lê Đại Hành 	8	2	4
Angel In Us Coffee - Lotte Mart Nguyễn Hữu Thọ	36	9	4
Angel In Us Coffee - Nguyễn Đức Cảnh	41	9	4.56
Angel In Us Coffee - Tôn Dật Tiên	16	6	2.67
Angolo Caffe - Novare	49	10	4.9
Anh Chị Em - Ăn Vặt	22	6	3.67
Anh chị em - Hoà Hảo 	20	5	4
Anh Coffee - Nguyễn Thái Học	20	5	4
Anh Coffee - Trần Hưng Đạo	84	24	3.5
Ánh Dương - Massage Body Khiếm Thị	25	5	5
Ánh Hồng - Bún Chả Hà Nội	6	2	3
Anh Thư - Tiệc Tận Nơi	8	2	4
Anh Tư Gà Nướng	19	6	3.17
ANH TUK - Ẩm Thực Thái Lan	15	4	3.75
Anh Tuk Restaurant	14	3	4.67
Ảnh Viện Cưới Thu Thủy - Hồ Văn Huê	2	2	1
Ann Quán	7	2	3.5
Anna Sanctuary Wellness Spa - Tajmasago	17	5	3.4
Anna Sweet Bakery - Tiệm Bánh Online	4	1	4
Annam Cafe Gourmet	67	29	2.31
Annie’s Pizza - Đinh Tiên Hoàng	4	1	4
Annz Japanese Dining	43	11	3.91
Apple Coffee - Bùi Hữu Nghĩa	5	2	2.5
Apple Kids Club - Khu Vui Chơi Trẻ Em	5	2	2.5
Apple Kids Club - Khu vui chơi trẻ em - Nguyễn Văn Linh	10	3	3.33
Apple Spa	7	3	2.33
April Cafe - Sư Vạn Hạnh	4	1	4
AQ Cafe	1	1	1
Aqua Palace 	10	3	3.33
Aqua Palace - Hội Nghị & Tiệc Cưới	9	3	3
Aqua Palace - Tiệc Cưới	3	1	3
Aqua Spa - Nguyễn Trọng Tuyển	82	20	4.1
Aquamilk Shop	9	2	4.5
Arirang BBQ - Ẩm Thực Hàn Quốc	8	2	4
Arlon Coffe	16	4	4
Arlon Coffee	12	3	4
Arlon Coffee - Lý Thường Kiệt	6	2	3
Arlon Coffee - Sư Vạn Hạnh	12	4	3
Aroi Dessert Cafe - Đề Thám	161	43	3.74
Aroli Coffee	10	2	5
Aroma Rooftop - Phạm Hồng Thái	15	3	5
Art Tea	8	2	4
Artinus 3D Gallery	84	21	4
ARTINUS Bảo Tàng Tranh 3D	20	5	4
Ashoka	94	24	3.92
Ashura Shop	0	1	0
Asian Kitchen	197	43	4.58
Asian Ruby Center Point Hotel	11	3	3.67
Asian Town - Buffet Lẩu Phố Á	3	1	3
ẤT Sửu - Bún Đậu Mắm Tôm	27	7	3.86
Atelier Des Reves	177	38	4.66
Au Bon Moment Cake	16	4	4
Au Manoir De Khai - Ngôi nhà nhỏ	12	3	4
Au Pagolac - Trần Hưng Đạo	12	3	4
Au Parc	515	121	4.26
Au Parc - Món Á & Âu	46	11	4.18
Augusta Vung Tau Coffee	5	1	5
Auntie Anne’s - Vincom Center	28	6	4.67
Avatar Karaoke - Phạm Viết Chánh	44	12	3.67
Awesome Coffee - Mỹ Toàn 3	20	5	4
Ayame Japanese Matcha	28	7	4
B Coffee - Bùi Viện	102	21	4.86
B&A Cafe - Bờ Sông Sài Gòn	7	2	3.5
B.O.C Homemade BBQ	40	10	4
B3 Steakhouse & Craft Beer	18	4	4.5
Bà Bắc - Bánh Tráng Cuốn Trộn	44	13	3.38
Ba Bep Beo - Phú Nhuận	5	1	5
Ba Chấm - Hủ Tiếu & Tàu Hũ	10	2	5
Bà Cô Lốc Cốc - Nhà Hàng Ốc Độc Lạ	20	5	4
Ba Con Cừu - Cao Thắng	17	5	3.4
Ba Con Cừu - Cao Thắng - Ẩm thực Mông Cổ	52	13	4
Ba Con Cừu - Phan Xích Long	31	8	3.88
Ba con cừu Nguyễn Chí Thanh	10	3	3.33
Ba Con Sóc - BBQ & Sushi	63	16	3.94
Bà Hoa - Đặc Sản Huế	4	1	4
Ba Hoàng - Hủ Tiếu Nam Vang	12	5	2.4
Ba Hưng Quán	8	2	4
Ba Lá Trà	24	6	4
Ba Lá Trà - Nguyễn Tri Phương	14	4	3.5
Bà Lâm - Gỏi vịt - Mai Văn Vĩnh	5	1	5
Ba Le Bakery	10	2	5
Bà Nội Trợ Tài Danh	6	2	3
Bà O - Bún Bò Huế	8	2	4
Bà Tám - Đào Duy Từ	8	2	4
Bà Tư - Hủ Tiếu Miền Tây	9	2	4.5
Baba's Kitchen	1361	299	4.55
Babo Cafe bò sát - Phạm Văn Hai	4	1	4
Baby Spoon - Phan Chu Trinh	39	10	3.9
Bắc Kâm - Bún Tôm Hạ Long	8	2	4
Bắc Việt Cafe - Trần Quang Khải	5	1	5
Bạch Kim - Tiệc Cưới & Hội Nghị	11	3	3.67
Bạch Kim - Tổ Chức Tiệc Cưới	4	1	4
Bạch tuộc nướng - Hai Bà Trưng	6	2	3
Bạch tuộc nướng - Tôn Đản	5	1	5
Bạch Tuộc Nướng 115	4	2	2
Bách Việt	8	2	4
Bách Việt - Tiệc Cưới & Hội Nghị	4	1	4
Bahdja Couscous House	53	12	4.42
Bahdja Restaurant	185	40	4.62
Bãi Biển 30 Tháng 4 - Cần Giờ	50	12	4.17
Bake n' Shake	0	9	0
Baker's House	0	1	0
Bakers' Mart - Siêu Thị Ngành Bánh	8	2	4
Bamboo Dimsum - Bitexco	4	1	4
Bamboo Dimsum - Crescent Mall	7	2	3.5
Bamboo Dimsum - Cresent Mall	24	6	4
Bamboo Dimsum - Vincom Mega Mall Thảo Điền	11	3	3.67
Bamboo Sushi	86	26	3.31
Bamboo Sushi - Hoa Sứ	5	1	5
Bami Station - Chuyên đặc sản Phú Yên	4	1	4
Ban Mai Cafe	4	2	2
Ban Mê - Quán Bánh Ướt Thịt Nướng	12	3	4
Bạn Phương Anh	0	1	0
Bana Bakery	7	2	3.5
Banana's Juice Shop	32	8	4
Bằng Hữu	3	1	3
Bằng Hữu 	8	2	4
Bâng Khuâng Cafe	43	11	3.91
Bằng Lăng - Karaoke 	5	2	2.5
Bằng Lăng Tím Cafe	4	1	4
Báng tráng tây ninh TNF	4	1	4
Bang! - Cafe & Game	12	3	4
Bánh Bá Trạng Tết Đoan Ngọ	5	1	5
Bánh Bạch Tuộc - Ba Cu	5	1	5
Bánh Bạch Tuộc - Mì Udon	9	4	2.25
Bánh Bạch Tuộc Nướng Takoyaki	5	1	5
Bánh Bạch Tuộc Takoyaki	28	8	3.5
Bánh Bạch Tuộc Takoyaki - Ngô Tất Tố	7	2	3.5
Bánh Bạch Tuột Nướng Takoyaki	8	2	4
